(2/22/1518 11:58:00 PM, StartShift 2543)
(7/22/1518 12:55:00 AM, Awake)
(7/22/1518 11:56:00 PM, StartShift 283)
(7/23/1518 12:33:00 AM, Sleeping)
(7/23/1518 12:59:00 AM, Awake)
(7/23/1518 11:56:00 PM, StartShift 1619)
(7/24/1518 12:29:00 AM, Sleeping)
(7/24/1518 12:34:00 AM, Awake)
(7/24/1518 12:37:00 AM, Sleeping)
(7/24/1518 12:52:00 AM, Awake)
(7/25/1518 12:02:00 AM, StartShift 449)
(7/25/1518 12:18:00 AM, Sleeping)
(7/25/1518 12:31:00 AM, Awake)
(7/26/1518 12:01:00 AM, StartShift 1607)
(7/26/1518 12:18:00 AM, Sleeping)
(7/26/1518 12:40:00 AM, Awake)
(7/26/1518 12:47:00 AM, Sleeping)
(7/26/1518 12:55:00 AM, Awake)
(7/27/1518 12:02:00 AM, StartShift 1571)
(7/27/1518 12:09:00 AM, Sleeping)
(7/27/1518 12:58:00 AM, Awake)
(7/27/1518 11:57:00 PM, StartShift 1597)
(7/28/1518 12:16:00 AM, Sleeping)
(7/28/1518 12:31:00 AM, Awake)
(7/28/1518 11:47:00 PM, StartShift 1619)
(7/29/1518 12:02:00 AM, Sleeping)
(7/29/1518 12:15:00 AM, Awake)
(7/29/1518 12:18:00 AM, Sleeping)
(7/29/1518 12:19:00 AM, Awake)
(7/29/1518 12:23:00 AM, Sleeping)
(7/29/1518 12:38:00 AM, Awake)
(7/30/1518 12:00:00 AM, StartShift 953)
(7/30/1518 12:40:00 AM, Sleeping)
(7/30/1518 12:57:00 AM, Awake)
(7/30/1518 11:56:00 PM, StartShift 1571)
(7/31/1518 12:22:00 AM, Sleeping)
(7/31/1518 12:34:00 AM, Awake)
(7/31/1518 11:48:00 PM, StartShift 2801)
(8/1/1518 12:03:00 AM, Sleeping)
(8/1/1518 12:17:00 AM, Awake)
(8/2/1518 12:04:00 AM, StartShift 283)
(8/2/1518 12:18:00 AM, Sleeping)
(8/2/1518 12:50:00 AM, Awake)
(8/3/1518 12:01:00 AM, StartShift 2543)
(8/3/1518 12:39:00 AM, Sleeping)
(8/3/1518 12:45:00 AM, Awake)
(8/3/1518 12:57:00 AM, Sleeping)
(8/3/1518 12:59:00 AM, Awake)
(8/4/1518 12:00:00 AM, StartShift 283)
(8/4/1518 12:17:00 AM, Sleeping)
(8/4/1518 12:48:00 AM, Awake)
(8/4/1518 12:52:00 AM, Sleeping)
(8/4/1518 12:53:00 AM, Awake)
(8/4/1518 11:50:00 PM, StartShift 3299)
(8/5/1518 12:05:00 AM, Sleeping)
(8/5/1518 12:09:00 AM, Awake)
(8/5/1518 12:16:00 AM, Sleeping)
(8/5/1518 12:21:00 AM, Awake)
(8/5/1518 12:27:00 AM, Sleeping)
(8/5/1518 12:49:00 AM, Awake)
(8/5/1518 11:59:00 PM, StartShift 2423)
(8/6/1518 12:31:00 AM, Sleeping)
(8/6/1518 12:34:00 AM, Awake)
(8/6/1518 12:53:00 AM, Sleeping)
(8/6/1518 12:56:00 AM, Awake)
(8/7/1518 12:01:00 AM, StartShift 3571)
(8/7/1518 12:36:00 AM, Sleeping)
(8/7/1518 12:40:00 AM, Awake)
(8/8/1518 12:00:00 AM, StartShift 2801)
(8/8/1518 12:19:00 AM, Sleeping)
(8/8/1518 12:26:00 AM, Awake)
(8/8/1518 12:42:00 AM, Sleeping)
(8/8/1518 12:57:00 AM, Awake)
(8/8/1518 11:57:00 PM, StartShift 283)
(8/9/1518 12:31:00 AM, Sleeping)
(8/9/1518 12:35:00 AM, Awake)
(8/9/1518 12:46:00 AM, Sleeping)
(8/9/1518 12:58:00 AM, Awake)
(8/10/1518 12:04:00 AM, StartShift 283)
(8/10/1518 12:19:00 AM, Sleeping)
(8/10/1518 12:34:00 AM, Awake)
(8/10/1518 12:50:00 AM, Sleeping)
(8/10/1518 12:55:00 AM, Awake)
(8/11/1518 12:00:00 AM, StartShift 1619)
(8/11/1518 12:33:00 AM, Sleeping)
(8/11/1518 12:35:00 AM, Awake)
(8/12/1518 12:02:00 AM, StartShift 1597)
(8/12/1518 12:29:00 AM, Sleeping)
(8/12/1518 12:55:00 AM, Awake)
(8/13/1518 12:00:00 AM, StartShift 1607)
(8/13/1518 12:29:00 AM, Sleeping)
(8/13/1518 12:32:00 AM, Awake)
(8/13/1518 12:39:00 AM, Sleeping)
(8/13/1518 12:53:00 AM, Awake)
(8/13/1518 12:56:00 AM, Sleeping)
(8/13/1518 12:59:00 AM, Awake)
(8/14/1518 12:03:00 AM, StartShift 2801)
(8/14/1518 12:27:00 AM, Sleeping)
(8/14/1518 12:29:00 AM, Awake)
(8/15/1518 12:04:00 AM, StartShift 613)
(8/15/1518 12:11:00 AM, Sleeping)
(8/15/1518 12:44:00 AM, Awake)
(8/15/1518 12:49:00 AM, Sleeping)
(8/15/1518 12:50:00 AM, Awake)
(8/16/1518 12:04:00 AM, StartShift 2467)
(8/16/1518 12:17:00 AM, Sleeping)
(8/16/1518 12:23:00 AM, Awake)
(8/16/1518 12:29:00 AM, Sleeping)
(8/16/1518 12:31:00 AM, Awake)
(8/17/1518 12:03:00 AM, StartShift 1597)
(8/17/1518 12:15:00 AM, Sleeping)
(8/17/1518 12:47:00 AM, Awake)
(8/18/1518 12:03:00 AM, StartShift 883)
(8/18/1518 12:33:00 AM, Sleeping)
(8/18/1518 12:51:00 AM, Awake)
(8/19/1518 12:00:00 AM, StartShift 1619)
(8/19/1518 12:33:00 AM, Sleeping)
(8/19/1518 12:34:00 AM, Awake)
(8/20/1518 12:04:00 AM, StartShift 883)
(8/20/1518 12:49:00 AM, Sleeping)
(8/20/1518 12:54:00 AM, Awake)
(8/20/1518 11:58:00 PM, StartShift 1571)
(8/21/1518 12:51:00 AM, Sleeping)
(8/21/1518 12:57:00 AM, Awake)
(8/22/1518 12:02:00 AM, StartShift 2161)
(8/22/1518 12:09:00 AM, Sleeping)
(8/22/1518 12:38:00 AM, Awake)
(8/22/1518 12:42:00 AM, Sleeping)
(8/22/1518 12:45:00 AM, Awake)
(8/23/1518 12:03:00 AM, StartShift 883)
(8/23/1518 12:54:00 AM, Sleeping)
(8/23/1518 12:55:00 AM, Awake)
(8/24/1518 12:00:00 AM, StartShift 449)
(8/24/1518 12:23:00 AM, Sleeping)
(8/24/1518 12:59:00 AM, Awake)
(8/24/1518 11:56:00 PM, StartShift 2801)
(8/25/1518 12:21:00 AM, Sleeping)
(8/25/1518 12:31:00 AM, Awake)
(8/25/1518 12:41:00 AM, Sleeping)
(8/25/1518 12:53:00 AM, Awake)
(8/25/1518 11:59:00 PM, StartShift 1607)
(8/26/1518 12:16:00 AM, Sleeping)
(8/26/1518 12:32:00 AM, Awake)
(8/26/1518 12:49:00 AM, Sleeping)
(8/26/1518 12:56:00 AM, Awake)
(8/26/1518 11:56:00 PM, StartShift 2161)
(8/27/1518 12:33:00 AM, Sleeping)
(8/27/1518 12:45:00 AM, Awake)
(8/28/1518 12:00:00 AM, StartShift 2423)
(8/28/1518 12:27:00 AM, Sleeping)
(8/28/1518 12:36:00 AM, Awake)
(8/28/1518 12:41:00 AM, Sleeping)
(8/28/1518 12:52:00 AM, Awake)
(8/29/1518 12:01:00 AM, StartShift 1619)
(8/29/1518 12:26:00 AM, Sleeping)
(8/29/1518 12:33:00 AM, Awake)
(8/30/1518 12:00:00 AM, StartShift 2543)
(8/30/1518 12:41:00 AM, Sleeping)
(8/30/1518 12:49:00 AM, Awake)
(8/30/1518 11:50:00 PM, StartShift 919)
(8/31/1518 12:05:00 AM, Sleeping)
(8/31/1518 12:18:00 AM, Awake)
(8/31/1518 12:25:00 AM, Sleeping)
(8/31/1518 12:31:00 AM, Awake)
(8/31/1518 12:43:00 AM, Sleeping)
(8/31/1518 12:52:00 AM, Awake)
(8/31/1518 11:56:00 PM, StartShift 1619)
(9/1/1518 12:13:00 AM, Sleeping)
(9/1/1518 12:18:00 AM, Awake)
(9/2/1518 12:00:00 AM, StartShift 1571)
(9/2/1518 12:10:00 AM, Sleeping)
(9/2/1518 12:49:00 AM, Awake)
(9/2/1518 12:52:00 AM, Sleeping)
(9/2/1518 12:55:00 AM, Awake)
(9/2/1518 11:59:00 PM, StartShift 1307)
(9/3/1518 12:23:00 AM, Sleeping)
(9/3/1518 12:30:00 AM, Awake)
(9/4/1518 12:03:00 AM, StartShift 3299)
(9/4/1518 12:26:00 AM, Sleeping)
(9/4/1518 12:36:00 AM, Awake)
(9/4/1518 11:47:00 PM, StartShift 3299)
(9/5/1518 12:02:00 AM, Sleeping)
(9/5/1518 12:25:00 AM, Awake)
(9/5/1518 12:28:00 AM, Sleeping)
(9/5/1518 12:58:00 AM, Awake)
(9/5/1518 11:54:00 PM, StartShift 3571)
(9/6/1518 12:04:00 AM, Sleeping)
(9/6/1518 12:25:00 AM, Awake)
(9/6/1518 12:37:00 AM, Sleeping)
(9/6/1518 12:54:00 AM, Awake)
(9/6/1518 11:56:00 PM, StartShift 449)
(9/7/1518 12:32:00 AM, Sleeping)
(9/7/1518 12:44:00 AM, Awake)
(9/7/1518 11:56:00 PM, StartShift 953)
(9/8/1518 12:14:00 AM, Sleeping)
(9/8/1518 12:32:00 AM, Awake)
(9/8/1518 12:42:00 AM, Sleeping)
(9/8/1518 12:52:00 AM, Awake)
(9/8/1518 11:59:00 PM, StartShift 1571)
(9/9/1518 12:47:00 AM, Sleeping)
(9/9/1518 12:57:00 AM, Awake)
(9/10/1518 12:04:00 AM, StartShift 1571)
(9/10/1518 12:21:00 AM, Sleeping)
(9/10/1518 12:24:00 AM, Awake)
(9/10/1518 11:50:00 PM, StartShift 2161)
(9/11/1518 12:05:00 AM, Sleeping)
(9/11/1518 12:55:00 AM, Awake)
(9/11/1518 11:53:00 PM, StartShift 919)
(9/12/1518 12:04:00 AM, Sleeping)
(9/12/1518 12:27:00 AM, Awake)
(9/12/1518 12:42:00 AM, Sleeping)
(9/12/1518 12:44:00 AM, Awake)
(9/13/1518 12:01:00 AM, StartShift 2467)
(9/13/1518 12:18:00 AM, Sleeping)
(9/13/1518 12:39:00 AM, Awake)
(9/14/1518 12:02:00 AM, StartShift 1619)
(9/14/1518 12:33:00 AM, Sleeping)
(9/14/1518 12:38:00 AM, Awake)
(9/14/1518 12:47:00 AM, Sleeping)
(9/14/1518 12:53:00 AM, Awake)
(9/14/1518 12:56:00 AM, Sleeping)
(9/14/1518 12:59:00 AM, Awake)
(9/15/1518 12:00:00 AM, StartShift 613)
(9/15/1518 12:38:00 AM, Sleeping)
(9/15/1518 12:53:00 AM, Awake)
(9/15/1518 11:56:00 PM, StartShift 3571)
(9/16/1518 12:40:00 AM, Sleeping)
(9/16/1518 12:46:00 AM, Awake)
(9/16/1518 12:50:00 AM, Sleeping)
(9/16/1518 12:55:00 AM, Awake)
(9/16/1518 11:59:00 PM, StartShift 919)
(9/17/1518 12:29:00 AM, Sleeping)
(9/17/1518 12:40:00 AM, Awake)
(9/17/1518 12:46:00 AM, Sleeping)
(9/17/1518 12:58:00 AM, Awake)
(9/17/1518 11:59:00 PM, StartShift 1697)
(9/18/1518 12:24:00 AM, Sleeping)
(9/18/1518 12:29:00 AM, Awake)
(9/19/1518 12:02:00 AM, StartShift 883)
(9/19/1518 12:14:00 AM, Sleeping)
(9/19/1518 12:20:00 AM, Awake)
(9/20/1518 12:00:00 AM, StartShift 263)
(9/20/1518 11:57:00 PM, StartShift 577)
(9/22/1518 12:02:00 AM, StartShift 1597)
(9/22/1518 12:18:00 AM, Sleeping)
(9/22/1518 12:28:00 AM, Awake)
(9/22/1518 12:35:00 AM, Sleeping)
(9/22/1518 12:47:00 AM, Awake)
(9/23/1518 12:04:00 AM, StartShift 2423)
(9/23/1518 12:47:00 AM, Sleeping)
(9/23/1518 12:58:00 AM, Awake)
(9/23/1518 11:56:00 PM, StartShift 1091)
(9/24/1518 12:07:00 AM, Sleeping)
(9/24/1518 12:16:00 AM, Awake)
(9/25/1518 12:00:00 AM, StartShift 1697)
(9/25/1518 12:32:00 AM, Sleeping)
(9/25/1518 12:49:00 AM, Awake)
(9/25/1518 11:59:00 PM, StartShift 283)
(9/26/1518 12:36:00 AM, Sleeping)
(9/26/1518 12:38:00 AM, Awake)
(9/26/1518 12:54:00 AM, Sleeping)
(9/26/1518 12:57:00 AM, Awake)
(9/26/1518 11:52:00 PM, StartShift 1597)
(9/27/1518 12:04:00 AM, Sleeping)
(9/27/1518 12:50:00 AM, Awake)
(9/27/1518 11:58:00 PM, StartShift 1571)
(9/28/1518 12:06:00 AM, Sleeping)
(9/28/1518 12:39:00 AM, Awake)
(9/29/1518 12:00:00 AM, StartShift 2801)
(9/29/1518 12:14:00 AM, Sleeping)
(9/29/1518 12:52:00 AM, Awake)
(9/30/1518 12:03:00 AM, StartShift 2543)
(9/30/1518 12:27:00 AM, Sleeping)
(9/30/1518 12:57:00 AM, Awake)
(9/30/1518 11:49:00 PM, StartShift 449)
(10/1/1518 12:00:00 AM, Sleeping)
(10/1/1518 12:12:00 AM, Awake)
(10/1/1518 12:19:00 AM, Sleeping)
(10/1/1518 12:56:00 AM, Awake)
(10/1/1518 11:47:00 PM, StartShift 449)
(10/2/1518 12:02:00 AM, Sleeping)
(10/2/1518 12:18:00 AM, Awake)
(10/2/1518 11:58:00 PM, StartShift 919)
(10/3/1518 12:16:00 AM, Sleeping)
(10/3/1518 12:53:00 AM, Awake)
(10/4/1518 12:04:00 AM, StartShift 953)
(10/4/1518 12:21:00 AM, Sleeping)
(10/4/1518 12:40:00 AM, Awake)
(10/4/1518 12:53:00 AM, Sleeping)
(10/4/1518 12:59:00 AM, Awake)
(10/5/1518 12:03:00 AM, StartShift 157)
(10/5/1518 11:54:00 PM, StartShift 1697)
(10/6/1518 12:04:00 AM, Sleeping)
(10/6/1518 12:15:00 AM, Awake)
(10/6/1518 12:21:00 AM, Sleeping)
(10/6/1518 12:47:00 AM, Awake)
(10/7/1518 12:00:00 AM, StartShift 3299)
(10/7/1518 12:20:00 AM, Sleeping)
(10/7/1518 12:24:00 AM, Awake)
(10/7/1518 12:33:00 AM, Sleeping)
(10/7/1518 12:42:00 AM, Awake)
(10/7/1518 12:49:00 AM, Sleeping)
(10/7/1518 12:51:00 AM, Awake)
(10/7/1518 11:58:00 PM, StartShift 919)
(10/8/1518 12:40:00 AM, Sleeping)
(10/8/1518 12:50:00 AM, Awake)
(10/8/1518 12:54:00 AM, Sleeping)
(10/8/1518 12:58:00 AM, Awake)
(10/9/1518 12:04:00 AM, StartShift 283)
(10/9/1518 12:07:00 AM, Sleeping)
(10/9/1518 12:39:00 AM, Awake)
(10/9/1518 11:57:00 PM, StartShift 2801)
(10/10/1518 12:13:00 AM, Sleeping)
(10/10/1518 12:39:00 AM, Awake)
(10/10/1518 12:48:00 AM, Sleeping)
(10/10/1518 12:49:00 AM, Awake)
(10/10/1518 12:52:00 AM, Sleeping)
(10/10/1518 12:58:00 AM, Awake)
(10/10/1518 11:58:00 PM, StartShift 3571)
(10/11/1518 12:22:00 AM, Sleeping)
(10/11/1518 12:47:00 AM, Awake)
(10/11/1518 11:52:00 PM, StartShift 1619)
(10/12/1518 12:05:00 AM, Sleeping)
(10/12/1518 12:56:00 AM, Awake)
(10/13/1518 12:02:00 AM, StartShift 1571)
(10/13/1518 12:43:00 AM, Sleeping)
(10/13/1518 12:48:00 AM, Awake)
(10/13/1518 12:54:00 AM, Sleeping)
(10/13/1518 12:55:00 AM, Awake)
(10/14/1518 12:00:00 AM, StartShift 1697)
(10/14/1518 12:36:00 AM, Sleeping)
(10/14/1518 12:52:00 AM, Awake)
(10/14/1518 11:59:00 PM, StartShift 1571)
(10/15/1518 12:10:00 AM, Sleeping)
(10/15/1518 12:18:00 AM, Awake)
(10/15/1518 12:34:00 AM, Sleeping)
(10/15/1518 12:59:00 AM, Awake)
(10/16/1518 12:00:00 AM, StartShift 1307)
(10/16/1518 12:30:00 AM, Sleeping)
(10/16/1518 12:35:00 AM, Awake)
(10/16/1518 11:52:00 PM, StartShift 613)
(10/17/1518 12:01:00 AM, Sleeping)
(10/17/1518 12:27:00 AM, Awake)
(10/17/1518 12:33:00 AM, Sleeping)
(10/17/1518 12:58:00 AM, Awake)
(10/17/1518 11:58:00 PM, StartShift 283)
(10/18/1518 12:18:00 AM, Sleeping)
(10/18/1518 12:52:00 AM, Awake)
(10/19/1518 12:00:00 AM, StartShift 2801)
(10/19/1518 12:34:00 AM, Sleeping)
(10/19/1518 12:42:00 AM, Awake)
(10/19/1518 12:45:00 AM, Sleeping)
(10/19/1518 12:53:00 AM, Awake)
(10/19/1518 11:54:00 PM, StartShift 613)
(10/20/1518 12:05:00 AM, Sleeping)
(10/20/1518 12:20:00 AM, Awake)
(10/20/1518 12:36:00 AM, Sleeping)
(10/20/1518 12:47:00 AM, Awake)
(10/20/1518 11:52:00 PM, StartShift 953)
(10/21/1518 12:03:00 AM, Sleeping)
(10/21/1518 12:46:00 AM, Awake)
(10/21/1518 11:58:00 PM, StartShift 1307)
(10/22/1518 12:41:00 AM, Sleeping)
(10/22/1518 12:49:00 AM, Awake)
(10/23/1518 12:02:00 AM, StartShift 2423)
(10/23/1518 12:07:00 AM, Sleeping)
(10/23/1518 12:43:00 AM, Awake)
(10/24/1518 12:00:00 AM, StartShift 3571)
(10/24/1518 12:07:00 AM, Sleeping)
(10/24/1518 12:09:00 AM, Awake)
(10/24/1518 12:38:00 AM, Sleeping)
(10/24/1518 12:50:00 AM, Awake)
(10/24/1518 11:57:00 PM, StartShift 2161)
(10/25/1518 12:15:00 AM, Sleeping)
(10/25/1518 12:39:00 AM, Awake)
(10/25/1518 12:42:00 AM, Sleeping)
(10/25/1518 12:46:00 AM, Awake)
(10/26/1518 12:01:00 AM, StartShift 1597)
(10/26/1518 12:06:00 AM, Sleeping)
(10/26/1518 12:28:00 AM, Awake)
(10/26/1518 12:35:00 AM, Sleeping)
(10/26/1518 12:45:00 AM, Awake)
(10/26/1518 12:49:00 AM, Sleeping)
(10/26/1518 12:52:00 AM, Awake)
(10/26/1518 11:58:00 PM, StartShift 2161)
(10/27/1518 12:36:00 AM, Sleeping)
(10/27/1518 12:38:00 AM, Awake)
(10/28/1518 12:03:00 AM, StartShift 1597)
(10/28/1518 12:40:00 AM, Sleeping)
(10/28/1518 12:41:00 AM, Awake)
(10/28/1518 12:44:00 AM, Sleeping)
(10/28/1518 12:50:00 AM, Awake)
(10/29/1518 12:00:00 AM, StartShift 953)
(10/29/1518 12:21:00 AM, Sleeping)
(10/29/1518 12:50:00 AM, Awake)
(10/29/1518 11:46:00 PM, StartShift 1091)
(10/30/1518 12:05:00 AM, Sleeping)
(10/30/1518 12:26:00 AM, Awake)
(10/30/1518 12:53:00 AM, Sleeping)
(10/30/1518 12:56:00 AM, Awake)
(10/31/1518 12:00:00 AM, StartShift 953)
(10/31/1518 12:24:00 AM, Sleeping)
(10/31/1518 12:58:00 AM, Awake)
(11/1/1518 12:04:00 AM, StartShift 449)
(11/1/1518 12:07:00 AM, Sleeping)
(11/1/1518 12:46:00 AM, Awake)
(11/1/1518 11:59:00 PM, StartShift 1619)
(11/2/1518 12:06:00 AM, Sleeping)
(11/2/1518 12:52:00 AM, Awake)
(11/2/1518 11:57:00 PM, StartShift 613)
(11/3/1518 12:20:00 AM, Sleeping)
(11/3/1518 12:45:00 AM, Awake)
(11/3/1518 12:50:00 AM, Sleeping)
(11/3/1518 12:58:00 AM, Awake)
(11/3/1518 11:59:00 PM, StartShift 1597)
(11/4/1518 12:57:00 AM, Sleeping)
(11/4/1518 12:59:00 AM, Awake)
(11/5/1518 12:02:00 AM, StartShift 1697)
(11/5/1518 12:17:00 AM, Sleeping)
(11/5/1518 12:43:00 AM, Awake)
(11/5/1518 11:47:00 PM, StartShift 1307)
(11/6/1518 12:02:00 AM, Sleeping)
(11/6/1518 12:50:00 AM, Awake)
(11/6/1518 11:57:00 PM, StartShift 2423)
(11/7/1518 12:34:00 AM, Sleeping)
(11/7/1518 12:49:00 AM, Awake)
(11/8/1518 12:00:00 AM, StartShift 283)
(11/8/1518 12:20:00 AM, Sleeping)
(11/8/1518 12:32:00 AM, Awake)
(11/8/1518 12:43:00 AM, Sleeping)
(11/8/1518 12:47:00 AM, Awake)
(11/8/1518 11:56:00 PM, StartShift 449)
(11/9/1518 12:16:00 AM, Sleeping)
(11/9/1518 12:53:00 AM, Awake)
(11/9/1518 11:51:00 PM, StartShift 3299)
(11/10/1518 12:03:00 AM, Sleeping)
(11/10/1518 12:10:00 AM, Awake)
(11/10/1518 12:23:00 AM, Sleeping)
(11/10/1518 12:50:00 AM, Awake)
(11/11/1518 12:00:00 AM, StartShift 3571)
(11/11/1518 12:36:00 AM, Sleeping)
(11/11/1518 12:54:00 AM, Awake)
(11/11/1518 11:56:00 PM, StartShift 577)
(11/12/1518 11:52:00 PM, StartShift 953)
(11/13/1518 12:01:00 AM, Sleeping)
(11/13/1518 12:57:00 AM, Awake)
(11/13/1518 11:50:00 PM, StartShift 2801)
(11/14/1518 12:03:00 AM, Sleeping)
(11/14/1518 12:05:00 AM, Awake)
(11/14/1518 12:08:00 AM, Sleeping)
(11/14/1518 12:47:00 AM, Awake)
(11/14/1518 12:51:00 AM, Sleeping)
(11/14/1518 12:53:00 AM, Awake)
(11/14/1518 11:57:00 PM, StartShift 883)
(11/15/1518 12:29:00 AM, Sleeping)
(11/15/1518 12:46:00 AM, Awake)
(11/15/1518 11:56:00 PM, StartShift 883)
(11/16/1518 12:29:00 AM, Sleeping)
(11/16/1518 12:54:00 AM, Awake)
(11/16/1518 11:50:00 PM, StartShift 919)
(11/17/1518 12:01:00 AM, Sleeping)
(11/17/1518 12:58:00 AM, Awake)
(11/17/1518 11:58:00 PM, StartShift 2467)
(11/18/1518 12:27:00 AM, Sleeping)
(11/18/1518 12:45:00 AM, Awake)
(11/18/1518 11:56:00 PM, StartShift 1307)
(11/19/1518 12:18:00 AM, Sleeping)
(11/19/1518 12:36:00 AM, Awake)
(11/19/1518 12:45:00 AM, Sleeping)
(11/19/1518 12:50:00 AM, Awake)
(11/20/1518 12:00:00 AM, StartShift 613)
(11/20/1518 12:11:00 AM, Sleeping)
(11/20/1518 12:29:00 AM, Awake)
(11/21/1518 12:04:00 AM, StartShift 449)
(11/21/1518 12:43:00 AM, Sleeping)
(11/21/1518 12:53:00 AM, Awake)
(11/21/1518 11:46:00 PM, StartShift 919)
(11/22/1518 12:05:00 AM, Sleeping)
(11/22/1518 12:29:00 AM, Awake)
(11/22/1518 12:33:00 AM, Sleeping)
(11/22/1518 12:48:00 AM, Awake)
(11/23/1518 12:01:00 AM, StartShift 613)
(11/23/1518 12:39:00 AM, Sleeping)
(11/23/1518 12:55:00 AM, Awake)
